RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  112  131     0     0  con    0  1.0D+00  3.1D-01  1.092D-02  1.476D+00
  113  133     0     0  con    1  4.3D-01  2.3D-01  1.932D-02  1.474D+00
  114  134     0     0  con    0  1.0D+00  2.6D-01  1.253D-02  1.471D+00
  115  135     0     0  con    0  1.0D+00  6.8D-01  1.958D-02  1.467D+00
  116  136     0     0  con    0  1.0D+00  7.1D-01  2.387D-02  1.464D+00
  117  138     0     0  con    1  2.6D-01  6.3D-01  5.461D-02  1.461D+00
  118  139     0     0  con    0  1.0D+00  1.2D+00  3.123D-02  1.455D+00
  119  140     0     0  con    0  1.0D+00  6.3D-01  1.481D-02  1.450D+00
  120  141     0     0  con    0  1.0D+00  3.6D-01  3.797D-02  1.447D+00
  121  143     0     0  con    1  4.8D-01  2.0D-01  1.165D-02  1.445D+00
  122  144     0     0  con    0  1.0D+00  2.7D-01  9.648D-03  1.444D+00
  123  145     0     0  con    0  1.0D+00  3.2D-01  9.953D-03  1.442D+00
  124  146     0     0  con    0  1.0D+00  3.4D-01  9.348D-03  1.439D+00
  125  148     0     0  con    1  1.2D-01  1.3D-01  3.102D-02  1.438D+00
  126  149     0     0  con    0  1.0D+00  2.2D-01  2.524D-02  1.433D+00
  127  150     0     0  con    0  1.0D+00  3.1D-01  1.213D-02  1.427D+00
  128  151     0     0  con    0  1.0D+00  4.8D-01  3.659D-02  1.424D+00
  129  152     0     0  con    0  1.0D+00  6.4D-01  2.547D-02  1.421D+00
  130  153     0     0  con    0  1.0D+00  1.1D+00  1.386D-02  1.417D+00
  131  154     0     0  con    0  1.0D+00  1.6D+00  1.418D-02  1.411D+00
  132  155     0     0  con    0  1.0D+00  9.4D-01  5.700D-02  1.410D+00
  133  156     0     0  con    0  1.0D+00  1.4D-01  1.055D-02  1.407D+00
  134  157     0     0  con    0  1.0D+00  3.1D-01  9.897D-03  1.406D+00
  135  158     0     0  con    0  1.0D+00  2.0D-01  2.031D-02  1.403D+00
  136  159     0     0  con    0  1.0D+00  3.3D-01  1.465D-02  1.401D+00
  137  161     0     0  con    1  4.8D-01  4.5D-01  1.701D-02  1.399D+00
  138  162     0     0  con    0  1.0D+00  3.5D-01  7.861D-03  1.398D+00
  139  163     0     0  con    0  1.0D+00  4.1D-01  2.772D-02  1.396D+00
  140  164     0     0  con    0  1.0D+00  4.3D-01  1.257D-02  1.395D+00
  141  165     0     0  con    0  1.0D+00  2.0D-01  8.393D-03  1.393D+00
  142  166     0     0  con    0  1.0D+00  5.3D-01  1.264D-02  1.391D+00
  143  167     0     0  con    0  1.0D+00  1.3D-01  1.520D-02  1.389D+00
  144  169     0     0  con    1  3.1D-01  1.5D-01  1.373D-02  1.389D+00
  145  170     0     0  con    0  1.0D+00  2.0D-01  7.466D-03  1.387D+00
  146  171     0     0  con    0  1.0D+00  1.7D-01  7.502D-03  1.387D+00
  147  172     0     0  con    0  1.0D+00  8.0D-01  2.400D-02  1.384D+00
  148  173     0     0  con    0  1.0D+00  3.2D-01  1.044D-02  1.383D+00
  149  174     0     0  con    0  1.0D+00  5.1D-02  9.262D-03  1.382D+00
  150  175     0     0  con    0  1.0D+00  1.5D-01  7.896D-03  1.380D+00
  151  176     0     0  con    0  1.0D+00  3.4D-01  4.407D-02  1.378D+00
  152  177     0     0  con    0  1.0D+00  2.2D-01  1.880D-02  1.376D+00
  153  178     0     0  con    0  1.0D+00  4.6D-01  1.086D-02  1.374D+00
  154  179     0     0  con    0  1.0D+00  3.7D-01  1.685D-02  1.373D+00
  155  180     0     0  con    0  1.0D+00  6.6D-01  2.205D-02  1.371D+00
  156  181     0     0  con    0  1.0D+00  8.8D-01  2.397D-02  1.367D+00
  157  183     0     0  con    1  2.2D-01  3.8D-01  1.693D-02  1.366D+00
  158  184     0     0  con    0  1.0D+00  3.2D-01  1.186D-02  1.364D+00
  159  185     0     0  con    0  1.0D+00  1.3D-01  1.999D-02  1.363D+00
  160  186     0     0  con    0  1.0D+00  7.4D-01  2.805D-02  1.360D+00
  161  187     0     0  con    0  1.0D+00  1.7D-01  1.690D-02  1.358D+00
  162  188     0     0  con    0  1.0D+00  1.7D-01  1.430D-02  1.357D+00
  163  189     0     0  con    0  1.0D+00  1.8D-01  1.485D-02  1.356D+00
  164  190     0     0  con    0  1.0D+00  1.3D-01  1.300D-02  1.355D+00
  165  191     0     0  con    0  1.0D+00  4.3D-01  1.291D-02  1.352D+00
  166  193     0     0  con    1  2.9D-01  3.5D-01  1.706D-02  1.351D+00
  167  194     0     0  con    0  1.0D+00  1.4D-01  7.884D-03  1.350D+00
  168  195     0     0  con    0  1.0D+00  1.2D-01  8.506D-03  1.349D+00
  169  196     0     0  con    0  1.0D+00  1.2D-01  1.187D-02  1.349D+00
  170  197     0     0  con    0  1.0D+00  6.6D-01  4.864D-02  1.348D+00
  171  198     0     0  con    0  1.0D+00  1.5D-01  1.715D-02  1.347D+00
  172  199     0     0  con    0  1.0D+00  8.8D-02  1.077D-02  1.346D+00
  173  200     0     0  con    0  1.0D+00  2.0D-01  1.017D-02  1.346D+00
  174  201     0     0  con    0  1.0D+00  4.5D-02  8.594D-03  1.345D+00
  175  202     0     0  con    0  1.0D+00  1.8D-01  1.327D-02  1.343D+00
  176  204     0     0  con    1  2.9D-01  2.3D-01  1.317D-02  1.342D+00
  177  205     0     0  con    0  1.0D+00  1.7D-01  1.261D-02  1.341D+00
  178  206     0     0  con    0  1.0D+00  1.1D-01  6.276D-03  1.341D+00
  179  207     0     0  con    0  1.0D+00  3.0D-01  2.454D-02  1.340D+00
  180  208     0     0  con    0  1.0D+00  3.1D-01  1.199D-02  1.339D+00
  181  209     0     0  con    0  1.0D+00  5.8D-01  1.004D-02  1.338D+00
  182  210     0     0  con    0  1.0D+00  8.3D-01  1.678D-02  1.335D+00
  183  212     0     0  con    1  2.0D-01  1.0D-01  3.327D-02  1.335D+00
  184  213     0     0  con    0  1.0D+00  4.3D-01  2.506D-02  1.334D+00
  185  214     0     0  con    0  1.0D+00  3.8D-02  1.481D-02  1.333D+00
  186  215     0     0  con    0  1.0D+00  5.7D-02  1.274D-02  1.333D+00
  187  216     0     0  con    0  1.0D+00  1.4D-01  1.027D-02  1.332D+00
  188  217     0     0  con    0  1.0D+00  1.5D-01  1.501D-02  1.331D+00
  189  219     0     0  con    1  3.5D-01  3.3D-01  9.102D-03  1.331D+00
  190  220     0     0  con    0  1.0D+00  5.9D-02  5.116D-03  1.331D+00
  191  221     0     0  con    0  1.0D+00  1.1D-01  9.844D-03  1.330D+00
  192  222     0     0  con    0  1.0D+00  6.5D-02  1.368D-02  1.330D+00
  193  223     0     0  con    0  1.0D+00  1.9D-01  1.981D-02  1.330D+00
  194  224     0     0  con    0  1.0D+00  2.5D-01  2.631D-02  1.328D+00
  195  226     0     0  con    1  3.4D-01  1.9D-01  2.952D-02  1.328D+00
